Unnamed: 0,House Number,City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society,property Type
0,48022756,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,7.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,13774.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
1,51560745,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,3.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2968.0,12635.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
2,51815448,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,4.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,15614.0,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi,Houses
3,52061409,Rawalpindi,1.0,3.0,3.0,0.0,1.0,0.0,1.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,11021.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
4,52010487,Rawalpindi,3.0,6.0,6.0,1.0,2.0,1.0,4.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,3812.0,12461.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses
5,42644685,,2.0,3.0,3.0,1.0,1.0,1.0,2.25, For Sale,"Askari 14, Rawalpindi, Punjab, ",Moderately Old,2722.0,8266.0,Askari 14,Punjab,Askari 14,
6,52099738,,3.0,2.0,2.0,0.0,1.0,1.0,1.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1171.0,9821.0,Bahria Town ,Punjab,Bahria Town Rawalpindi,
7,51956291,Rawalpindi,1.0,4.0,5.0,0.0,0.0,0.0,1.75, For Sale,"Defence Road, Rawalpindi, Punjab, ",Undefined,1361.0,12858.0,Defence Road,Punjab,Defence Road,Houses
8,52094137,Rawalpindi,1.0,4.0,4.0,0.0,2.0,0.0,1.55, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction,1361.0,11389.0,Snober City,Punjab,Adiala Road,Houses
9,52094145,Rawalpindi,,3.0,4.0,0.0,1.0,0.0,1.35, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction,1361.0,9919.0,Adiala Road,Punjab,Adiala Road,Houses
